,全国地方公共団体コード,町字id,町字区分コード,都道府県名,都道府県名_カナ,都道府県名_英字,郡名,郡名_カナ,郡名_英字,市区町村名,市区町村名_カナ,市区町村名_英字,政令市区名,政令市区名_カナ,政令市区名_英字,大字・町名,大字・町名_カナ,大字・町名_英字,丁目名,丁目名_カナ,丁目名_数字,小字名,小字名_カナ,小字名_英字,住居表示フラグ,住居表示方式コード,大字・町_通称フラグ,小字_通称フラグ,大字・町外字フラグ,小字外字フラグ,状態フラグ,起番フラグ,効力発生日,廃止日,原典資料コード,郵便番号,備考
557739,252018,1001,2,滋賀県,シガケン,Shiga,,,,大津市,オオツシ,Otsu-shi,,,,青山,アオヤマ,Aoyama,一丁目,１チョウメ,1.0,,,,1,1,0,0,0,0,0,1,1947-04-17,,0,,
557740,252018,1002,2,滋賀県,シガケン,Shiga,,,,大津市,オオツシ,Otsu-shi,,,,青山,アオヤマ,Aoyama,二丁目,２チョウメ,2.0,,,,1,1,0,0,0,0,0,1,1947-04-17,,0,,
557741,252018,1003,2,滋賀県,シガケン,Shiga,,,,大津市,オオツシ,Otsu-shi,,,,青山,アオヤマ,Aoyama,三丁目,３チョウメ,3.0,,,,1,1,0,0,0,0,0,1,1947-04-17,,0,,
557742,252018,1004,2,滋賀県,シガケン,Shiga,,,,大津市,オオツシ,Otsu-shi,,,,青山,アオヤマ,Aoyama,四丁目,４チョウメ,4.0,,,,1,1,0,0,0,0,0,1,1947-04-17,,0,,
557743,252018,1005,2,滋賀県,シガケン,Shiga,,,,大津市,オオツシ,Otsu-shi,,,,青山,アオヤマ,Aoyama,五丁目,５チョウメ,5.0,,,,1,1,0,0,0,0,0,1,1947-04-17,,0,,
557744,252018,1006,2,滋賀県,シガケン,Shiga,,,,大津市,オオツシ,Otsu-shi,,,,青山,アオヤマ,Aoyama,六丁目,６チョウメ,6.0,,,,1,1,0,0,0,0,0,1,1947-04-17,,0,,
557745,252018,1007,2,滋賀県,シガケン,Shiga,,,,大津市,オオツシ,Otsu-shi,,,,青山,アオヤマ,Aoyama,七丁目,７チョウメ,7.0,,,,1,1,0,0,0,0,0,1,1947-04-17,,0,,
557746,252018,1008,2,滋賀県,シガケン,Shiga,,,,大津市,オオツシ,Otsu-shi,,,,青山,アオヤマ,Aoyama,八丁目,８チョウメ,8.0,,,,1,1,0,0,0,0,0,1,1947-04-17,,0,,
557747,252018,2000,1,滋賀県,シガケン,Shiga,,,,大津市,オオツシ,Otsu-shi,,,,赤尾町,アカオチョウ,Akaocho,,,,,,,1,1,0,0,0,0,0,1,1947-04-17,,0,5200864.0,
557748,252018,3000,1,滋賀県,シガケン,Shiga,,,,大津市,オオツシ,Otsu-shi,,,,あかね町,アカネチョウ,Akanecho,,,,,,,1,1,0,0,0,0,0,1,1947-04-17,,0,5200003.0,
557749,252018,4000,1,滋賀県,シガケン,Shiga,,,,大津市,オオツシ,Otsu-shi,,,,秋葉台,アキバダイ,Akibadai,,,,,,,1,1,0,0,0,0,0,1,1947-04-17,,0,5200822.0,
557750,252018,5001,2,滋賀県,シガケン,Shiga,,,,大津市,オオツシ,Otsu-shi,,,,朝日,アサヒ,Asahi,一丁目,１チョウメ,1.0,,,,1,1,0,0,0,0,0,1,1947-04-17,,0,,
557751,252018,5002,2,滋賀県,シガケン,Shiga,,,,大津市,オオツシ,Otsu-shi,,,,朝日,アサヒ,Asahi,二丁目,２チョウメ,2.0,,,,1,1,0,0,0,0,0,1,1947-04-17,,0,,
557752,252018,6001,2,滋賀県,シガケン,Shiga,,,,大津市,オオツシ,Otsu-shi,,,,朝日が丘,アサヒガオカ,Asahigaoka,一丁目,１チョウメ,1.0,,,,1,1,0,0,0,0,0,1,1947-04-17,,0,,
557753,252018,6002,2,滋賀県,シガケン,Shiga,,,,大津市,オオツシ,Otsu-shi,,,,朝日が丘,アサヒガオカ,Asahigaoka,二丁目,２チョウメ,2.0,,,,1,1,0,0,0,0,0,1,1947-04-17,,0,,
557754,252018,7001,2,滋賀県,シガケン,Shiga,,,,大津市,オオツシ,Otsu-shi,,,,穴太,アノウ,Ano,一丁目,１チョウメ,1.0,,,,1,1,0,0,0,0,0,1,1947-04-17,,0,,
557755,252018,7002,2,滋賀県,シガケン,Shiga,,,,大津市,オオツシ,Otsu-shi,,,,穴太,アノウ,Ano,二丁目,２チョウメ,2.0,,,,1,1,0,0,0,0,0,1,1947-04-17,,0,,
557756,252018,7003,2,滋賀県,シガケン,Shiga,,,,大津市,オオツシ,Otsu-shi,,,,穴太,アノウ,Ano,三丁目,３チョウメ,3.0,,,,1,1,0,0,0,0,0,1,1947-04-17,,0,,
557757,252018,8000,1,滋賀県,シガケン,Shiga,,,,大津市,オオツシ,Otsu-shi,,,,荒川,アラカワ,Arakawa,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0,5200513.0,
557758,252018,9000,1,滋賀県,シガケン,Shiga,,,,大津市,オオツシ,Otsu-shi,,,,粟津町,アワヅチョウ,Awazucho,,,,,,,1,1,0,0,0,0,0,1,1947-04-17,,0,5200832.0,
557759,252018,10000,1,滋賀県,シガケン,Shiga,,,,大津市,オオツシ,Otsu-shi,,,,伊香立上在地町,イカダチカミザイジチョウ,Ikadachi Kamizaijicho,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0,5200356.0,
557760,252018,11000,1,滋賀県,シガケン,Shiga,,,,大津市,オオツシ,Otsu-shi,,,,伊香立上龍華町,イカダチカミリュウゲチョウ,Ikadachi Kamiryugecho,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0,5200362.0,
557761,252018,12000,1,滋賀県,シガケン,Shiga,,,,大津市,オオツシ,Otsu-shi,,,,伊香立北在地町,イカダチキタザイジチョウ,Ikadachi Kitazaijicho,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0,5200351.0,
557762,252018,13000,1,滋賀県,シガケン,Shiga,,,,大津市,オオツシ,Otsu-shi,,,,伊香立下在地町,イカダチシモザイジチョウ,Ikadachi Shimozaijicho,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0,5200352.0,
557763,252018,14000,1,滋賀県,シガケン,Shiga,,,,大津市,オオツシ,Otsu-shi,,,,伊香立下龍華町,イカダチシモリュウゲチョウ,Ikadachi Shimoryugecho,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0,5200363.0,
557764,252018,15000,1,滋賀県,シガケン,Shiga,,,,大津市,オオツシ,Otsu-shi,,,,伊香立途中町,イカダチトチュウチョウ,Ikadachi Tochucho,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0,5200361.0,
557765,252018,16000,1,滋賀県,シガケン,Shiga,,,,大津市,オオツシ,Otsu-shi,,,,伊香立生津町,イカダチナマヅチョウ,Ikadachi Namazucho,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0,5200355.0,
557766,252018,17000,1,滋賀県,シガケン,Shiga,,,,大津市,オオツシ,Otsu-shi,,,,伊香立南庄町,イカダチミナミショウチョウ,Ikadachi Minamishocho,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0,5200354.0,
557767,252018,18000,1,滋賀県,シガケン,Shiga,,,,大津市,オオツシ,Otsu-shi,,,,伊香立向在地町,イカダチムカイザイジチョウ,Ikadachi Mukaizaijicho,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0,5200353.0,
557768,252018,19000,1,滋賀県,シガケン,Shiga,,,,大津市,オオツシ,Otsu-shi,,,,池の里,イケノサト,Ikenosato,,,,,,,1,1,0,0,0,0,0,1,1947-04-17,,0,5200827.0,
557769,252018,20001,2,滋賀県,シガケン,Shiga,,,,大津市,オオツシ,Otsu-shi,,,,石居,イシズエ,Ishizue,一丁目,１チョウメ,1.0,,,,1,1,0,0,0,0,0,1,1947-04-17,,0,,
557770,252018,20002,2,滋賀県,シガケン,Shiga,,,,大津市,オオツシ,Otsu-shi,,,,石居,イシズエ,Ishizue,二丁目,２チョウメ,2.0,,,,1,1,0,0,0,0,0,1,1947-04-17,,0,,
557771,252018,20003,2,滋賀県,シガケン,Shiga,,,,大津市,オオツシ,Otsu-shi,,,,石居,イシズエ,Ishizue,三丁目,３チョウメ,3.0,,,,1,1,0,0,0,0,0,1,1947-04-17,,0,,
557772,252018,21000,1,滋賀県,シガケン,Shiga,,,,大津市,オオツシ,Otsu-shi,,,,石場,イシバ,Ishiba,,,,,,,1,1,0,0,0,0,0,1,1947-04-17,,0,5200805.0,
