,全国地方公共団体コード,町字id,町字区分コード,都道府県名,都道府県名_カナ,都道府県名_英字,郡名,郡名_カナ,郡名_英字,市区町村名,市区町村名_カナ,市区町村名_英字,政令市区名,政令市区名_カナ,政令市区名_英字,大字・町名,大字・町名_カナ,大字・町名_英字,丁目名,丁目名_カナ,丁目名_数字,小字名,小字名_カナ,小字名_英字,住居表示フラグ,住居表示方式コード,大字・町_通称フラグ,小字_通称フラグ,大字・町外字フラグ,小字外字フラグ,状態フラグ,起番フラグ,効力発生日,廃止日,原典資料コード,郵便番号,備考
629057,302015,1000,1,和歌山県,ワカヤマケン,Wakayama,,,,和歌山市,ワカヤマシ,Wakayama-shi,,,,葵町,アオイチョウ,Aoicho,,,,,,,1,1,0,0,0,0,0,1,1947-04-17,,0,6408273.0,
629058,302015,2000,1,和歌山県,ワカヤマケン,Wakayama,,,,和歌山市,ワカヤマシ,Wakayama-shi,,,,秋月,アキヅキ,Akizuki,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0,6408322.0,
629059,302015,3000,1,和歌山県,ワカヤマケン,Wakayama,,,,和歌山市,ワカヤマシ,Wakayama-shi,,,,秋葉町,アキバチョウ,Akibacho,,,,,,,1,1,0,0,0,0,0,1,1947-04-17,,0,6410056.0,
629060,302015,4000,1,和歌山県,ワカヤマケン,Wakayama,,,,和歌山市,ワカヤマシ,Wakayama-shi,,,,朝日,アサヒ,Asahi,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0,6400344.0,
629061,302015,5000,1,和歌山県,ワカヤマケン,Wakayama,,,,和歌山市,ワカヤマシ,Wakayama-shi,,,,芦辺丁,アシベチョウ,Ashibecho,,,,,,,0,0,0,0,0,0,0,0,1947-04-17,,0,6408134.0,
629062,302015,6000,1,和歌山県,ワカヤマケン,Wakayama,,,,和歌山市,ワカヤマシ,Wakayama-shi,,,,小豆島,アズシマ,Azushima,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0,6496336.0,
629063,302015,7000,1,和歌山県,ワカヤマケン,Wakayama,,,,和歌山市,ワカヤマシ,Wakayama-shi,,,,網屋町,アミヤマチ,Amiyamachi,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0,6408238.0,
629064,302015,8000,1,和歌山県,ワカヤマケン,Wakayama,,,,和歌山市,ワカヤマシ,Wakayama-shi,,,,有家,アリエ,Arie,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0,6408316.0,
629065,302015,9000,1,和歌山県,ワカヤマケン,Wakayama,,,,和歌山市,ワカヤマシ,Wakayama-shi,,,,有田屋町,アリダヤマチ,Aridayamachi,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0,6408248.0,
629066,302015,10000,1,和歌山県,ワカヤマケン,Wakayama,,,,和歌山市,ワカヤマシ,Wakayama-shi,,,,有田屋町南ノ丁,アリダヤマチミナミノチョウ,Aridayamachi Minaminocho,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0,6408245.0,
